artist,title,genre,url,region,score,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
Mick Davis,Petition of Love,rock,https://mickdavis.bandcamp.com/album/petition-of-love,newfoundland,2.0,5,2018-05-07T00:00.000Z,https://i.scdn.co/image/ab67616d00001e023dbdcf3fa924cc7d58d7e22f,5nRN8t9ZsPXRAxij55wxPD,49LFMxfnisUQrAOgeYNXkO
Mick Davis,Learning the Game,rock,https://mickdavis.bandcamp.com/album/learning-the-game-2,newfoundland,2.0,5,2017-08-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020d2e5b793069796014cf53ae,4At3oqudNmPxEHkHqFiDyM,49LFMxfnisUQrAOgeYNXkO
Distance Learning,Deep Water Libraries,ambient,https://driftlabel.bandcamp.com/album/deep-water-libraries,calgary,2.0,5,2020-04-03T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e1b15c93d51bb5b3f9f7ffce,6rt2blsHAQ4cgIdOjhieTK,4Byw0YeJkvPWdwrNZXGn5u
LLUX,The Drive,alternative,https://lluxmusic.bandcamp.com/album/the-drive,manitoba,2.0,5,2020-01-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02328f964c209c3a3901dbf03b,0fleJyHw3jozozCSllezHA,5qYlmTAwEsjfV80iJpwI2M
Elizabeth Shepherd Trio,Start To Move,,https://linusentertainment.bandcamp.com/album/start-to-move-1,ontario,2.0,5,2006-01-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029ac49a7d971712f71fef851f,3BYtUoxvNoUyNwLXBMxOr1,3sQYjhOLeiww9tHiJaFXPZ
Littlebabyangel,GADA,electronic,https://littlebabyangel.bandcamp.com/album/gada,montreal,1.6,4,2018-05-31T00:00.000Z,https://i.scdn.co/image/ab67616d00001e022fed8f9944a9c23a29eea9a9,5IXY18rAYfyso8mdlkob1i,49uUJoppKArFxgxsPO8cB5
Ryan MacGrath,That Woods,alternative,https://ryanmacgrathmusic.bandcamp.com/album/that-woods,novascotia,1.6,4,2019-03-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02680ad23302212f40ae5c403e,50UEYCRNI7lOCjmayE7OWO,47XYZ2eBgiLFdzq8vQ74ka
The PepTides,Galápagos,pop,https://thepeptides.bandcamp.com/album/gal-pagos,ottawa,1.6,4,2019-01-18T00:00.000Z,https://i.scdn.co/image/ab67616d00001e021e78e09162845e78d0c90f6b,3JY9RTsXGXQ9jLJ6qkPqFR,47CJ42vImDa1bMoUDBnsUO
Brielle Ansems,This New Hurricane,alternative,https://bansemsmusic.bandcamp.com/album/this-new-hurricane,pei,1.6,4,2020-03-06T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e1d325926be3d21afee49adc,6pqUKQNSd9cBAsHVkk68Cp,2f75sve6wQJhCVSQprhqC3
Alicia Toner,I Learned The Hard Way,pop,https://aliciatoner.bandcamp.com/album/i-learned-the-hard-way,pei,1.6,4,2017-09-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d26800cd0218f09e86360b44,2nLY6sILZJ97aX7ahrGljI,0KWdSvxreEiygy1tMVCZqi
Brent Mason,Fireflies,folk,https://brentmasonmusic.bandcamp.com/album/fireflies,newbrunswick,1.6,4,2020-03-28T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02c0ebb6dd542b2886d1470164,3JRDDKcFhEYjSfrewllYKc,2Gb9x9lptj7955rYJCtsMc
Clint Curtis,Broken Light,rock,https://clintcurtis.bandcamp.com/album/broken-light,newfoundland,1.6,4,2019-08-18T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d8bff07a246ac1f2f363db60,1YbSjWvYsrQiOFrUUxePbh,3rQ95Bg2O20ciECMwf1Hdw
Clint Curtis,The King Has Come,rock,https://clintcurtis.bandcamp.com/album/the-king-has-come,newfoundland,1.6,4,2018-11-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0299a00425d678208bce031b8e,7GNx9x7Pyscd0pjl18DHb3,3rQ95Bg2O20ciECMwf1Hdw
Clint Curtis,Horizons,rock,https://clintcurtis.bandcamp.com/album/horizons,newfoundland,1.6,4,2018-02-11T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a86a95e6e4c89e37aa4fce8d,7cHzpyE4ek9asr2cBlJkMO,3rQ95Bg2O20ciECMwf1Hdw
Clint Curtis,Soul Anthems,rock,https://clintcurtis.bandcamp.com/album/soul-anthems,newfoundland,1.6,4,2015-11-11T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029fab35d944058b755a613671,1fnmeLGJBBcVpTYI3SzQaR,3rQ95Bg2O20ciECMwf1Hdw
Two Crows for Comfort,17 Feet,folk,https://twocrowsforcomfort.bandcamp.com/album/17-feet,manitoba,1.6,4,2018-09-21T00:00.000Z,https://i.scdn.co/image/ab67616d00001e021f755381b54d4e2c0bb80cff,6l0TXfJ5JP6yDuXvvmtqyL,5LkfGZ8aDfTPbBol5ph5nA
Coltan Fuller,Making Friends,acoustic,https://coltanfuller.bandcamp.com/album/making-friends,britishcolumbia,1.6,4,2018-07-20T00:00.000Z,https://i.scdn.co/image/ab67616d00001e028f774619a470e16ff5b1f763,5HNJ6VF28H74GFG7uTQPLt,4j2HvpV5d2i4Pg37Fv0IGf
The Great Scots,The Great Scots Arrive!,rock,https://thegreatscots.bandcamp.com/album/the-great-scots-arrive,novascotia,1.2,3,1998-03-13T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f9ce7a405abd948dfe50826e,4ipJINTj3Rg5D68yuTiEA3,3VeZ9mwkbNP8ER3b053ZYS
LXVNDR,Warmth,hip-hop/rap,https://lxvndr.bandcamp.com/album/warmth,pei,1.2,3,2020-03-28T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a54a0e47d731a89ac6d1f749,2zsYHrQKQzm367H12bC2Wu,4eweonZsXBVSxvyFtxbVJk
Racoon Bandit,Close Your Eyes,pop,https://racoonbandit.bandcamp.com/album/close-your-eyes-2,pei,1.2,3,2015-08-06T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0293dc660eb660f7e14d65cd97,2jMMrMIbXxAZ17hAx8rxe5,5DKK7ohmEpOPtg7ub3gaPJ
Aleckat,Hidden Threads,electronic,https://techgnosisrecords.bandcamp.com/album/hidden-threads,newbrunswick,1.2,3,2020-01-18T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02eaf3e1815218b85c41d2b361,1r13unVTH7IWrz8j0D46KC,6G3N1g8QKgJjDRrmy2B6di
Zane Coppard,Of Love,alternative,https://zanecoppard.bandcamp.com/album/of-love,victoria,1.2,3,2019-07-12T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e2d802f8fe04aeb6a19a9b5d,48KPzCbwfLWjk4hOfWUV3N,5Cd8bYlNy54SfcU3uuBRxh
Obroa-skai,Split w/ YSIDRO,punk,https://obroa-skai.bandcamp.com/album/split-w-ysidro,edmonton,1.2,3,2020-03-28T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024c0279a576972b0a88c2c81d,7fJuPOVnIWhTbsVJ6r3Cly,05FR0VPDa08LqPin2ahr3H
noca project,(a)live,folk,https://nocaproject.bandcamp.com/album/a-live,calgary,1.2,3,2020-04-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02231843e27b692aee661fa840,5AzLpIuPbOHQCa3vTIKGXP,3A32jC9oyAJx5DOqFePBaM
noca project,West Coast Wasted,folk,https://nocaproject.bandcamp.com/album/west-coast-wasted,calgary,1.2,3,2019-09-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e023bfc43d0914d9e3bc2b87573,2HuKKQUjgdAtT6EGQAfAH9,3A32jC9oyAJx5DOqFePBaM
Anthony OKS,Take Time,hip-hop/rap,https://anthonyoks.bandcamp.com/album/take-time,manitoba,1.2,3,2019-11-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02c0d76bfc60d7ac8c6fb4a9fe,1hFAtfjSsnnlcue4RQfnOI,2kkIzKmO6a1J2YdewBx1n8
Fiktion,Peace of the Pi,hip-hop/rap,https://officialfiktion.bandcamp.com/album/peace-of-the-pi,alberta,1.2,3,2020-03-14T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020dbfbf8020838b8cce3b037e,6f7KYS9xybT3WspyPtsViU,2TaELsE9PCv9wzMAlZnTxZ
All Over Purple,pyromaniac,alternative,https://alloverpurple.bandcamp.com/album/pyromaniac,toronto,0.8,2,2019-10-31T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024ad20a2cefc8c81ffc44e3a5,1q14s7mVKdZfX1LaHrSVKt,46izmeQGmLDmoQ4rFJEZ6d
Michael Perry,Sex Don't Solve Problems,pop,https://michaelperry.bandcamp.com/album/sex-dont-solve-problems,montreal,0.8,2,2020-01-10T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0258f075ecc9a2eba46e7501eb,7G7AzVcjQmt0VephtRVxba,3J1cYsP8j3vccfQlyVecQN
